created_at,entry_id,field1,latitude,longitude,elevation,status
2025-01-28T19:45:25-03:00,1,47.53590,,,,
2025-01-28T19:45:46-03:00,2,39.12023,,,,
2025-01-28T19:46:08-03:00,3,48.75197,,,,
2025-01-28T19:46:29-03:00,4,47.27388,,,,
2025-01-28T19:59:28-03:00,5,52.98317,,,,
2025-01-28T19:59:49-03:00,6,31.78054,,,,
2025-01-28T20:00:11-03:00,7,41.89655,,,,
2025-01-28T20:00:33-03:00,8,39.51244,,,,
2025-01-28T20:00:55-03:00,9,52.67858,,,,
2025-01-28T22:39:56-03:00,10,37.13572,,,,
2025-01-28T22:40:24-03:00,11,44.06719,,,,
2025-01-28T22:40:54-03:00,12,44.54347,,,,
2025-01-28T22:41:24-03:00,13,35.83519,,,,
2025-01-28T22:41:54-03:00,14,43.04065,,,,
2025-01-28T22:42:25-03:00,15,56.69881,,,,
2025-01-28T22:42:55-03:00,16,38.28642,,,,
2025-01-28T22:43:25-03:00,17,37.13572,,,,
2025-01-28T22:43:56-03:00,18,48.97840,,,,
2025-01-28T22:44:26-03:00,19,62.85998,,,,
2025-01-28T22:46:05-03:00,20,36.37586,,,,
2025-01-28T22:46:35-03:00,21,44.54347,,,,
2025-01-28T22:47:06-03:00,22,33.32204,,,,
2025-01-28T22:47:36-03:00,23,31.35494,,,,
2025-01-28T22:48:06-03:00,24,35.83519,,,,
2025-01-28T22:49:37-03:00,25,66.22736,,,,
2025-01-28T22:50:08-03:00,26,42.48495,,,,
2025-01-28T22:50:38-03:00,27,58.40642,,,,
2025-01-28T22:51:08-03:00,28,51.53292,,,,
2025-01-28T22:51:38-03:00,29,36.63562,,,,
2025-01-28T22:52:08-03:00,30,45.43295,,,,
2025-01-28T22:52:39-03:00,31,43.17488,,,,
2025-01-28T22:53:09-03:00,32,33.32204,,,,
2025-01-28T22:53:39-03:00,33,37.84190,,,,
2025-01-28T22:54:09-03:00,34,39.70292,,,,
2025-01-28T22:54:40-03:00,35,55.45177,,,,
2025-01-28T22:55:10-03:00,36,36.37586,,,,
2025-01-28T22:55:41-03:00,37,36.63562,,,,
2025-01-28T22:56:11-03:00,38,54.16100,,,,
2025-01-28T22:56:41-03:00,39,40.60443,,,,
2025-01-28T22:57:45-03:00,40,41.74387,,,,
2025-01-28T22:58:15-03:00,41,42.90459,,,,
2025-01-28T22:58:46-03:00,42,39.31826,,,,
2025-01-28T22:59:16-03:00,43,36.63562,,,,
2025-01-28T22:59:47-03:00,44,41.58883,,,,
2025-01-28T23:00:17-03:00,45,39.88984,,,,
2025-01-28T23:00:48-03:00,46,37.61200,,,,
2025-01-28T23:01:36-03:00,47,36.37586,,,,
2025-01-28T23:02:06-03:00,48,52.78115,,,,
2025-01-28T23:02:36-03:00,49,83.65672,,,,
2025-01-28T23:03:07-03:00,50,49.48760,,,,
2025-01-28T23:03:37-03:00,51,37.84190,,,,
2025-01-28T23:04:07-03:00,52,35.26361,,,,
2025-01-28T23:04:37-03:00,53,42.62680,,,,
